"","means_control","means_uc","fold_change","hmr","mar"
"HMR_6441",0.000775644028103044,0.000771878765830699,0.00206670397226919,"HMR_6441","MAR06441"
"HMR_6443",0.000775644028103044,0.000771878765830699,0.00206670397226919,"HMR_6443","MAR06443"
"HMR_6447",0.000775644028103044,0.000771878765830699,0.00206670397226919,"HMR_6447","MAR06447"
"HMR_6448",0.000775644028103044,0.000771878765830699,0.00206670397226919,"HMR_6448","MAR06448"
"HMR_6450",0.000775644028103044,0.000771878765830699,0.00206670397226919,"HMR_6450","MAR06450"
"HMR_6451",0.000775644028103044,0.000771878765830699,0.00206670397226919,"HMR_6451","MAR06451"
"HMR_6453",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6453","MAR06453"
"HMR_6490",0.000232693208430913,0.00036146517814592,0.00208195941800303,"HMR_6490","MAR06490"
"HMR_6492",-0.000542950819672131,-0.000414178849957089,0.00208195941800303,"HMR_6492","MAR06492"
"HMR_5127",-0.0152618702367502,-0.0285122063852452,0.000541982652198653,"HMR_5127","MAR05127"
"HMR_5406",0,-0.000379683327579612,0.00202343463911899,"HMR_5406","MAR05406"
"HMR_8617",0.000775644028103044,0.000775644028103045,0.0020671373656139,"HMR_8617","MAR08617"
"HMR_8749",0,0.000379683327579612,0.0021108400921088,"HMR_8749","MAR08749"
"HMR_0018",-0.478662295081967,-0.478662295081967,0.00206713736561392,"HMR_0018","MAR00018"
"HMR_0167",-93.7920357488474,-56.2367149293499,4.32480083406388,"HMR_0167","MAR00167"
"HMR_0173",-0.000860462811064383,-0.000374843343542841,0.00212303366979187,"HMR_0173","MAR00173"
"HMR_0352",0.000253969122349188,0.000281850084960326,0.00207034655072923,"HMR_0352","MAR00352"
"HMR_0376",2.40705341907345e-05,0.000133884252487728,0.00207977726457052,"HMR_0376","MAR00376"
"HMR_0770",-0.0274169112857917,-0.0119892754270094,0.00384290601655099,"HMR_0770","MAR00770"
"HMR_3959",-1.5071165716643,-14.2506338901348,-1.46475115961485,"HMR_3959","MAR03959"
"HMR_4063",-0.000775644028103044,-0.000775644028103044,0.0020671373656139,"HMR_4063","MAR04063"
"HMR_4845",0,7.70220267916482,0.888614511572573,"HMR_4845","MAR04845"
"HMR_4847",0.126025548134887,0.0147310241152655,-0.0107432069142263,"HMR_4847","MAR04847"
"HMR_4848",0,5.41975984663515e-05,0.00207337567699184,"HMR_4848","MAR04848"
"HMR_4858",-17.4376790205914,-35.4001228188896,-2.06546575511446,"HMR_4858","MAR04858"
"HMR_4885",-785.86098505952,-756.94628800468,3.33023828758758,"HMR_4885","MAR04885"
"HMR_4896",-0.00185657819078686,-0.000996666388414863,0.00216611587633326,"HMR_4896","MAR04896"
"HMR_4919",0,0.00334014712397422,0.00245159864059885,"HMR_4919","MAR04919"
"HMR_4947",-1.13698954508817,-1.12203319917783,0.00378865908438356,"HMR_4947","MAR04947"
"HMR_4958",0,0.0032502875870419,0.00244125552969497,"HMR_4958","MAR04958"
"HMR_4969",-0.0353283372365337,-0.0353283372365339,0.00206713736561387,"HMR_4969","MAR04969"
"HMR_4983",0.0069545292740046,0.00294163416083801,0.00160524071426123,"HMR_4983","MAR04983"
"HMR_4985",-0.61557291479848,-0.604837171360559,0.00330285467292321,"HMR_4985","MAR04985"
"HMR_4990",-0.0152618702367502,-0.312143672088508,-0.0321048771664741,"HMR_4990","MAR04990"
"HMR_5003",-0.0929925050643797,-0.104251951832018,0.000771140183681074,"HMR_5003","MAR05003"
"HMR_5029",-35.3300146131661,-35.4009624897792,-0.00609918288547685,"HMR_5029","MAR05029"
"HMR_5034",-0.0148780892480493,-0.00520030502788846,0.00318108029154265,"HMR_5034","MAR05034"
"HMR_5037",-0.00511807962529274,-0.017584703625005,0.000632190346877586,"HMR_5037","MAR05037"
"HMR_5038",0,0.0142696119300615,0.00370961387714087,"HMR_5038","MAR05038"
"HMR_5041",0,0.00366886610127101,0.0024894352125918,"HMR_5041","MAR05041"
"HMR_5070",71.8669467036671,83.9229544435813,1.38975095334106,"HMR_5070","MAR05070"
"HMR_5073",0,0.0576405283828854,0.00870174063617985,"HMR_5073","MAR05073"
"HMR_5074",50,-0.0693911689138493,-5.76107479981267,"HMR_5074","MAR05074"
"HMR_5077",0,0.247647622886315,0.03057214547094,"HMR_5077","MAR05077"
"HMR_5078",-16.5256488146877,42.3548001033598,6.77938910029302,"HMR_5078","MAR05078"
"HMR_5079",0.228028109227249,0.0135303692565453,-0.0226222165848815,"HMR_5079","MAR05079"
"HMR_5080",12.4422433179701,-0.0240062754371206,-1.43283678604584,"HMR_5080","MAR05080"
"HMR_5082",0,0.0609866249168738,0.00908688670667667,"HMR_5082","MAR05082"
"HMR_5084",0,0.0354685637850009,0.00614967886709179,"HMR_5084","MAR05084"
"HMR_5085",0,-0.117474662370226,-0.0114545599719412,"HMR_5085","MAR05085"
"HMR_5088",13.0787194288216,0,-1.50333396029397,"HMR_5088","MAR05088"
"HMR_5089",0,-0.215840453832337,-0.0227767671073655,"HMR_5089","MAR05089"
"HMR_5091",0,0.15402469904015,0.0197958570819157,"HMR_5091","MAR05091"
"HMR_5092",0,-0.160950348008403,-0.0164587459885773,"HMR_5092","MAR05092"
"HMR_5129",0,0.0120711312054029,0.00345656193928897,"HMR_5129","MAR05129"
"HMR_5303",-844.060685969681,-843.947835638049,0.0150565599183284,"HMR_5303","MAR05303"
"HMR_5305",0.360963389425743,0.0602113829266424,-0.0325503497034441,"HMR_5305","MAR05305"
"HMR_5307",1.47007670667965,2.60043145641833,0.132174468611777,"HMR_5307","MAR05307"
"HMR_5314",0.591666370023419,0.0930866263684854,-0.0553209347200183,"HMR_5314","MAR05314"
"HMR_5315",0.37192768428293,0.0379483185921193,-0.0363749216175185,"HMR_5315","MAR05315"
"HMR_5316",0.676464910226386,0.189689145694304,-0.0539622601781413,"HMR_5316","MAR05316"
"HMR_5318",0.0136479625292741,0.0138782337827698,0.00209364229980554,"HMR_5318","MAR05318"
"HMR_5319",0.37192768428293,0.036724894840954,-0.0365157414789683,"HMR_5319","MAR05319"
"HMR_5322",0,0.0412237875446216,0.00681212293985909,"HMR_5322","MAR05322"
"HMR_5324",0,0.0104777744935313,0.00327316164875832,"HMR_5324","MAR05324"
"HMR_5326",0.377560741062215,0.100636732738982,-0.0298076733424899,"HMR_5326","MAR05326"
"HMR_5330",5.20381365504325,6.33196170204869,0.131920470295283,"HMR_5330","MAR05330"
"HMR_5430",507.794875645435,353.807471864994,-17.7223597790785,"HMR_5430","MAR05430"
"HMR_5435",0,0.551168544695178,0.0655083432646472,"HMR_5435","MAR05435"
"HMR_5436",7.31537357880028,44.099428008659,4.23602568479419,"HMR_5436","MAR05436"
"HMR_5458",0,-1.38790905074432,-0.157685491308249,"HMR_5458","MAR05458"
"HMR_5459",0,-0.48675619682557,-0.0539600078745406,"HMR_5459","MAR05459"
"HMR_5460",-0.0917264637002345,0.185465294221271,0.0339727668814252,"HMR_5460","MAR05460"
"HMR_5461",0,0.0211297634574477,0.0044992385568079,"HMR_5461","MAR05461"
"HMR_5462",0,0.0240000522953094,0.0048296176883913,"HMR_5462","MAR05462"
"HMR_5463",0,1.63476168861877,0.190233268908683,"HMR_5463","MAR05463"
"HMR_5464",0,0.780012040247465,0.0918489380966986,"HMR_5464","MAR05464"
"HMR_5465",0,-0.369466143416503,-0.0404595595999598,"HMR_5465","MAR05465"
"HMR_5466",0,1.26507754857407,0.147681479856291,"HMR_5466","MAR05466"
"HMR_5467",-4.99600361081321e-17,3.06242099984267,0.3545612756296,"HMR_5467","MAR05467"
"HMR_5468",0,-0.189010521515109,-0.0196885588328244,"HMR_5468","MAR05468"
"HMR_5469",0,2.69062621948125,0.311766545342262,"HMR_5469","MAR05469"
"HMR_5470",0,2.05357173096926,0.238439601409088,"HMR_5470","MAR05470"
"HMR_5472",4.44089209850063e-17,1.85852134109233,0.215988697662917,"HMR_5472","MAR05472"
"HMR_5473",-2.38858430913349,-0.796306558504112,0.185343236116849,"HMR_5473","MAR05473"
"HMR_5474",0,-0.200801614151238,-0.0210457501001834,"HMR_5474","MAR05474"
"HMR_5477",0.37243868852459,0,-0.0408017087448291,"HMR_5477","MAR05477"
"HMR_5482",-0.876086028802052,-0.40324414985262,0.05649270153983,"HMR_5482","MAR05482"
"HMR_5488",0.00707929742388762,0.0108214297082831,0.00249786837709978,"HMR_5488","MAR05488"
"HMR_5489",0.00353964871194381,0.00206193128851096,0.00189704751519901,"HMR_5489","MAR05489"
"HMR_5490",0.572517611241217,0.573921888997521,0.00222877408297475,"HMR_5490","MAR05490"
"HMR_5491",50.4288374238876,0.326606002592028,-5.76485481453444,"HMR_5491","MAR05491"
"HMR_5493",0.597720140515222,0.598059102794388,0.00210615297336499,"HMR_5493","MAR05493"
"HMR_5494",1.0328631381733,0.575580826256381,-0.0505674724711131,"HMR_5494","MAR05494"
"HMR_5496",1.62351761124122,1.03784268210112,-0.0653458602139701,"HMR_5496","MAR05496"
"HMR_5497",0.976328571428572,0.840089712967695,-0.013614377035477,"HMR_5497","MAR05497"
"HMR_5499",0.825657845433255,0.603209356312953,-0.0235373724273293,"HMR_5499","MAR05499"
"HMR_5500",0,-0.011165084923035,0.000782001524136964,"HMR_5500","MAR05500"
"HMR_5501",0,0.00103096564425548,0.00218580470311265,"HMR_5501","MAR05501"
"HMR_5502",-0.572517611241217,-0.314646065346399,0.0317489506622396,"HMR_5502","MAR05502"
"HMR_5503",0.285891615925059,0.180845023987631,-0.0100240505881176,"HMR_5503","MAR05503"
"HMR_5504",-0.350748367566858,-0.124544610797069,0.0281038900912317,"HMR_5504","MAR05504"
"HMR_5505",-0.801160608899298,-0.330881835337987,0.0561976801743443,"HMR_5505","MAR05505"
"HMR_5506",-1.06821770951166,-0.37007702337197,0.0824252917671411,"HMR_5506","MAR05506"
"HMR_5508",0.337485761124122,0.542085791591824,0.0256172343092422,"HMR_5508","MAR05508"
"HMR_5509",0.570147166276347,0.459375928630298,-0.010682975032546,"HMR_5509","MAR05509"
"HMR_5511",-0.225619859484778,-0.473678824947137,-0.0264852175437217,"HMR_5511","MAR05511"
"HMR_5518",0,0.0108214297082831,0.00331271742792457,"HMR_5518","MAR05518"
"HMR_5528",0,0.00240558650326278,0.00234402781977766,"HMR_5528","MAR05528"
"HMR_5535",-0.186219344262295,0,0.0235015604208354,"HMR_5535","MAR05535"
"HMR_5537",0.381678407494145,0.203360328323596,-0.0184578256154201,"HMR_5537","MAR05537"
"HMR_5545",0.142945807962529,0.140745117209704,0.00181383104667779,"HMR_5545","MAR05545"
"HMR_5552",0.179606413524354,0.0939077504123771,-0.00779704407958384,"HMR_5552","MAR05552"
"HMR_5558",0.203440468384075,0.242544380527957,0.00656811871815046,"HMR_5558","MAR05558"
"HMR_5563",1.12757025938493e-17,0.182971637977293,0.0231277393726108,"HMR_5563","MAR05563"
"HMR_5568",0.674971522248244,0.426901243495497,-0.026486519738471,"HMR_5568","MAR05568"
"HMR_5569",0.552959555035129,0.388358363838931,-0.0168789693424156,"HMR_5569","MAR05569"
"HMR_5570",0.173062211397584,0,-0.017852858962711,"HMR_5570","MAR05570"
"HMR_5571",0.794844473067916,0.467562806282758,-0.0356039957375624,"HMR_5571","MAR05571"
"HMR_5573",0.173062211397584,0,-0.017852858962711,"HMR_5573","MAR05573"
"HMR_5580",0.624920936768149,0.516216784520588,-0.0104450471035332,"HMR_5580","MAR05580"
"HMR_5602",0,0.87043467088685,0.102256862829591,"HMR_5602","MAR05602"
"HMR_5617",0,0.0990925582034516,0.0134729976030189,"HMR_5617","MAR05617"
