"","means_1","means_2","means_3","hmr","mar"
"HMR_5074",-0.0225111508602409,-0.0805328495563546,35.5100774171964,"HMR_5074","MAR05074"
"HMR_5077",0.0654984890003504,0.235177851288846,0.92855267035815,"HMR_5077","MAR05077"
"HMR_5078",0.17356962742861,132.007500032605,-35.7142857142857,"HMR_5078","MAR05078"
"HMR_5079",0.0578568366251442,0,0,"HMR_5079","MAR05079"
"HMR_5080",-0.00778786258275093,-0.027860804169278,8.81666961654944,"HMR_5080","MAR05080"
"HMR_5082",-0.0300534179129248,-0.107515044364548,0.857628462775012,"HMR_5082","MAR05082"
"HMR_5084",0.0144308469638017,0.0258129234422931,0.130038893246592,"HMR_5084","MAR05084"
"HMR_5085",-0.0323445582881813,-0.114614348385394,-0.426942957510873,"HMR_5085","MAR05085"
"HMR_5088",0,0,9.34194244915829,"HMR_5088","MAR05088"
"HMR_5089",-0.0531473639565546,-0.190132823168519,-0.864785279357645,"HMR_5089","MAR05089"
"HMR_5091",0.0448934776595549,0.160604835570802,0.522309750499304,"HMR_5091","MAR05091"
"HMR_5092",-0.0355306865330358,-0.127109779991424,-0.7006635757373,"HMR_5092","MAR05092"
"HMR_5129",0.0150669239568257,0.00807258712388909,0,"HMR_5129","MAR05129"
"HMR_5303",-843.957899393304,-843.946516702635,-843.986141142679,"HMR_5303","MAR05303"
"HMR_5305",0.147346662739544,0.0113622811778782,0.00368087642327554,"HMR_5305","MAR05305"
"HMR_5307",2.342533424337,3.68020577814895,0.224787822014051,"HMR_5307","MAR05307"
"HMR_5314",0.143113961164691,0.170829377201725,0.0251719136835064,"HMR_5314","MAR05314"
"HMR_5315",0.060555739987391,0.106553920242768,0,"HMR_5315","MAR05315"
"HMR_5316",0.231558548624045,0.326722909046489,0,"HMR_5316","MAR05316"
"HMR_5318",0.0225111508602408,0.00384449648711946,0,"HMR_5318","MAR05318"
"HMR_5319",0.0585712888634536,0.106553920242768,0,"HMR_5319","MAR05319"
"HMR_5322",0.0668669309778901,0,0,"HMR_5322","MAR05322"
"HMR_5324",0.016995445241476,0,0,"HMR_5324","MAR05324"
"HMR_5326",0.0757327284049369,0.26287782053588,0,"HMR_5326","MAR05326"
"HMR_5330",5.8095106456465,7.67290209693527,4.49558867297803,"HMR_5330","MAR05330"
"HMR_5430",651.377302437883,4.44111700684821,0,"HMR_5430","MAR05430"
"HMR_5435",0.727071003073404,0.298629617139217,0,"HMR_5435","MAR05435"
"HMR_5436",41.2815487156689,42.6173589825614,34.3643023824273,"HMR_5436","MAR05436"
"HMR_5458",-1.66991755032956,-0.685941402010421,-0.897424857811977,"HMR_5458","MAR05458"
"HMR_5459",-0.522198069538737,-0.478205939642926,0,"HMR_5459","MAR05459"
"HMR_5460",0.199985198593768,0.154552128368571,0,"HMR_5460","MAR05460"
"HMR_5461",0.0292852569658301,0.00792550230049181,0.00252832050853129,"HMR_5461","MAR05461"
"HMR_5462",0.0211237935422007,0.029854972457697,0.00505664101706259,"HMR_5462","MAR05462"
"HMR_5463",1.63695045407927,0.885492653596393,2.35707934935916,"HMR_5463","MAR05463"
"HMR_5464",0.860015664759584,0.44293067255995,0.714729039812647,"HMR_5464","MAR05464"
"HMR_5465",-0.403355511935643,-0.153740877029023,-0.498866902104009,"HMR_5465","MAR05465"
"HMR_5466",1.46267805322964,0.606358636378332,1.13551425225828,"HMR_5466","MAR05466"
"HMR_5467",3.48757479145684,1.47942278457177,2.96063249099917,"HMR_5467","MAR05467"
"HMR_5468",-0.266518364712608,-0.0716666917410028,0,"HMR_5468","MAR05468"
"HMR_5469",2.90832747520385,1.8618579432391,1.88283921043827,"HMR_5469","MAR05469"
"HMR_5470",2.15111543150409,1.50780450125284,1.52821418534627,"HMR_5470","MAR05470"
"HMR_5472",1.92948188985901,1.37172472870006,1.44352644697222,"HMR_5472","MAR05472"
"HMR_5473",-0.506233513675043,-1.50501433097486,-1.45225583923468,"HMR_5473","MAR05473"
"HMR_5474",-0.0648968411735418,-0.348553075303335,-0.299141619270659,"HMR_5474","MAR05474"
"HMR_5477",0,0,0.266027634660421,"HMR_5477","MAR05477"
"HMR_5482",-0.13048097190372,-0.350343545254802,-2.11230501074347,"HMR_5482","MAR05482"
"HMR_5488",0.000557424994006899,0.000997084144209524,0.0796148042823688,"HMR_5488","MAR05488"
"HMR_5489",0.0011148499880138,0.00498542072104763,0,"HMR_5489","MAR05489"
"HMR_5490",0.299806642202511,0.913877877098657,0.954196018735361,"HMR_5490","MAR05490"
"HMR_5491",0.147080801785023,0.603996371672659,36.224806457009,"HMR_5491","MAR05491"
"HMR_5493",0.463427568275277,0.848958656859188,0.572257577785213,"HMR_5493","MAR05493"
"HMR_5494",0.243983418466134,0.945830074179999,1.46739584143934,"HMR_5494","MAR05494"
"HMR_5496",0.786471479201273,1.50935210467304,1.40071669454667,"HMR_5496","MAR05496"
"HMR_5497",0.774781702183148,1.11149406617985,0.545417765138843,"HMR_5497","MAR05497"
"HMR_5499",0.505955639971233,0.889768459939968,0.476584192037471,"HMR_5499","MAR05499"
"HMR_5500",0,-0.032394471748524,0,"HMR_5500","MAR05500"
"HMR_5501",0,0.00199416828841905,0.00252832050853129,"HMR_5501","MAR05501"
"HMR_5502",-0.299996857769828,-0.376302655275918,-0.408941150886584,"HMR_5502","MAR05502"
"HMR_5503",0.0457165133046896,0.402664247781773,0.306312445633992,"HMR_5503","MAR05503"
"HMR_5504",-0.0689277194356323,-0.203667915087238,-0.337746958429078,"HMR_5504","MAR05504"
"HMR_5505",-0.122198122775636,-0.68058678629152,-0.726573101371697,"HMR_5505","MAR05505"
"HMR_5506",-0.203319515388445,-0.737327441344115,-0.693871221967648,"HMR_5506","MAR05506"
"HMR_5508",0.212589455826218,1.00241382722565,0.723183773837404,"HMR_5508","MAR05508"
"HMR_5509",0.097982802319021,1.07726977099384,0.610871963867515,"HMR_5509","MAR05509"
"HMR_5511",-0.189897704180421,-0.907549790546558,-0.48347112746738,"HMR_5511","MAR05511"
"HMR_5518",0,0.0313973876043145,0,"HMR_5518","MAR05518"
"HMR_5528",0.0011148499880138,0.0039883365768381,0.00252832050853129,"HMR_5528","MAR05528"
"HMR_5535",0,0,-0.133013817330211,"HMR_5535","MAR05535"
"HMR_5537",0.179592970550815,0.26878761091137,0.272627433924389,"HMR_5537","MAR05537"
"HMR_5545",0.0932283243283108,0.161065699112709,0.306312445633991,"HMR_5545","MAR05545"
"HMR_5552",0.0424509315395988,0.146497884981383,0.255160954151055,"HMR_5552","MAR05552"
"HMR_5558",0.187530775046565,0.253663594682851,0.435943860823016,"HMR_5558","MAR05558"
"HMR_5563",0.0406639030776891,0.385401775233653,0.184439846102375,"HMR_5563","MAR05563"
"HMR_5568",0.403211698537683,0.422310636947946,0.723183773837404,"HMR_5568","MAR05568"
"HMR_5569",0.268081082077855,0.321209671141604,1.22174392773503,"HMR_5569","MAR05569"
"HMR_5570",0,0,0.123615865283989,"HMR_5570","MAR05570"
"HMR_5571",0.402394759814859,0.5429395367696,0.805785212445631,"HMR_5571","MAR05571"
"HMR_5573",0,0,0.123615865283989,"HMR_5573","MAR05573"
"HMR_5580",0.258715491711077,0.803831447702609,1.03250628972901,"HMR_5580","MAR05580"
"HMR_5602",0.902876913699829,0.323627844328303,1.48809275769654,"HMR_5602","MAR05602"
"HMR_5617",0.119913574004537,0.073014691427252,0,"HMR_5617","MAR05617"
"HMR_5632",0.20598376586646,0,0.245227032452325,"HMR_5632","MAR05632"
"HMR_5647",0.0275442512308899,0.00398833657683808,0.586020521714231,"HMR_5647","MAR05647"
"HMR_5649",0.0011148499880138,0.00199416828841905,0.00505664101706259,"HMR_5649","MAR05649"
"HMR_5650",0.000557424994006899,0,0,"HMR_5650","MAR05650"
