"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","",13073.0983990131,1.60066009699357,0.184049068986439,8.69692036916258,3.41012567060031e-18,1.97660334888467e-17
"2","1-aminocyclopropane-1-carboxylate",0.286827346449215,0.349446538297759,0.679401534687129,0.514344640770766,0.607011056269365,0.667215172895973
"3","3-hydroxy-3-methylglutaryl-Coenzyme",0.102431452222336,-0.536823299378553,1.45429786600759,-0.369128850372495,0.712031685596474,NA
"4","3-hydroxyisobutyryl-Coenzyme",0.162323563561036,-0.671481992655428,0.975672463724771,-0.688224806603589,0.491311224745111,NA
"5","40S",13.6839100259551,0.336381778218952,0.210249283844773,1.59991878244542,0.109616602007701,0.146626347891692
"6","5-azacytidine",0.628028876009268,1.21049100443375,0.524124023411713,2.30955069861944,0.0209130417687741,0.0316697329588596
"7","5-nucleotidase
ENST00000457119.1	ENSG00000231006.1	RPL7P32
ENST00000433754.1	ENSG00000229532.1	zinc
ENST00000426484.1	ENSG00000236503.1	transient
ENST00000428694.1	ENSG00000213078.3	steroid
ENST00000434465.2	ENSG00000227062.2	ubiquitin-conjugating
ENST00000447996.2	ENSG00000215875.4	ST13P20
ENST00000447422.1	ENSG00000235673.1	ribosomal
ENST00000559068.2	ENSG00000259626.2	MTND3P12
ENST00000411674.2	ENSG00000213559.4	HNRNPA1P64
ENST00000485817.1	ENSG00000243508.1	DNAJB6P7
ENST00000438685.1	ENSG00000233716.1	MTFR2P1
ENST00000523014.1	ENSG00000253945.1	ribosomal
ENST00000488538.1	ENSG00000214988.4	RPL7AP26
ENST00000464884.1	ENSG00000242537.1	MRE11P1
ENST00000520612.1	ENSG00000254132.1	MTND6P3
ENST00000461005.1	ENSG00000239719.1	ribosomal
ENST00000605022.1	ENSG00000270923.1	TAS2R6P
ENST00000433478.1	ENSG00000237974.1	ribosomal
ENST00000449315.1	ENSG00000233489.1	PAXBP1P1
ENST00000454750.1	ENSG00000224469.1	ribosomal
ENST00000407696.2	ENSG00000217878.2	pseudogene
ENST00000503102.1	ENSG00000251583.1	MFFP2
ENST00000605620.1	ENSG00000270865.1	RPL12P48
ENST00000521579.2	ENSG00000254213.2	PRXL2AP2
