"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","",13073.0983990131,1.60066009699357,0.184049068986439,8.69692036916258,3.41012567060031e-18,1.97660334888467e-17
"2","1-aminocyclopropane-1-carboxylate",0.286827346449215,0.349446538297759,0.679401534687129,0.514344640770766,0.607011056269365,0.667215172895973
"3","3-hydroxy-3-methylglutaryl-Coenzyme",0.102431452222336,-0.536823299378553,1.45429786600759,-0.369128850372495,0.712031685596474,NA
"4","3-hydroxyisobutyryl-Coenzyme",0.162323563561036,-0.671481992655428,0.975672463724771,-0.688224806603589,0.491311224745111,NA
"5","40S",13.6839100259551,0.336381778218952,0.210249283844773,1.59991878244542,0.109616602007701,0.146626347891692
"6","5-azacytidine",0.628028876009268,1.21049100443375,0.524124023411713,2.30955069861944,0.0209130417687741,0.0316697329588596
"7","5-nucleotidase
"19160","RNA5SP157",0,NA,NA,NA,NA,NA
"19161","RNA5SP158",0.0756946401537727,-0.159843320176086,1.8996548125906,-0.0841433502111389,0.932942458346962,NA
"19162","RNA5SP159",0.127870100230272,0.0276700563579306,1.17320517421994,0.0235850105045167,0.981183628711196,NA
"19163","RNA5SP160",0.0754818413654988,-0.494676596907817,2.10206279010175,-0.235329124913472,0.813953291365242,NA
"19164","RNA5SP161",0.126277675031339,-0.0268072313290068,1.80194992257643,-0.0148767904108444,0.988130476443471,NA
"19165","RNA5SP162",0.00487937082547944,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19166","RNA5SP163",0.0162973175812176,-0.344345696477205,4.71769689511848,-0.0729902119895639,0.941813906436117,NA
"19167","RNA5SP164",0.0102208917420931,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19168","RNA5SP165",0.0369486642094777,-0.301711929768217,3.24462467773632,-0.0929882373879721,0.925912905936572,NA
"19169","RNA5SP166",0.0139521422976482,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"19170","RNA5SP167",0.00451425352981852,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19171","RNA5SP168",0.0778123064549896,-0.167552144469555,1.89722926835764,-0.0883141259013988,0.929627011978593,NA
"19172","RNA5SP169",0,NA,NA,NA,NA,NA
"19173","RNA5SP170",0.014574483231576,-0.344498712586464,5.1018392313458,-0.0675244156009185,0.946164225541331,NA
"19174","RNA5SP171",0,NA,NA,NA,NA,NA
"19175","RNA5SP173",0,NA,NA,NA,NA,NA
"19176","RNA5SP174",0.07760020370575,-0.263428928676779,1.65358296625803,-0.159307959777128,0.873426249853184,NA
"19177","RNA5SP175",0.0142560926151076,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"19178","RNA5SP176",0,NA,NA,NA,NA,NA
"19179","RNA5SP177",0,NA,NA,NA,NA,NA
"19180","RNA5SP178",0,NA,NA,NA,NA,NA
"19181","RNA5SP179",0.123163215805009,-0.316363034388253,1.34778292468719,-0.234728477853123,0.814419483041712,NA
"19182","RNA5SP18",0.124253890901283,0.0245250100733508,1.35358494286979,0.0181185600523557,0.985544271601004,NA
"19183","RNA5SP180",0.555895856974409,-0.520564880328708,0.50689062305937,-1.02697674142561,0.304431416168199,0.366698133051685
"19184","RNA5SP181",0,NA,NA,NA,NA,NA
"19185","RNA5SP182",0,NA,NA,NA,NA,NA
"19186","RNA5SP183",0.00463245675615008,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19187","RNA5SP184",0.0437029750933177,-0.259097598074525,2.75996161683503,-0.0938772468769489,0.92520666836447,NA
"19188","RNA5SP185",0.0287747034367703,-0.302063111172838,3.30946022526057,-0.091272621700433,0.927275971883776,NA
"19189","RNA5SP186",0.00879703588388113,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19190","RNA5SP187",5.3699704170748,0.410565603429555,0.247300482608097,1.66018925276498,0.0968763860167786,0.130959817575892
"19191","RNA5SP188",0.848168225454378,0.59483866208247,0.500863563221872,1.18762614364696,0.234980733122362,0.291322054667295
"19192","RNA5SP189",0,NA,NA,NA,NA,NA
"19193","RNA5SP19",0,NA,NA,NA,NA,NA
"19194","RNA5SP190",0.012297092514205,-0.358495151700319,5.10183920643297,-0.0702678264043069,0.943980489997604,NA
"19195","RNA5SP191",0.01371651369589,-0.372637697888323,5.10183938334423,-0.0730398724634214,0.941774388589968,NA
"19196","RNA5SP192",0,NA,NA,NA,NA,NA
"19197","RNA5SP193",0,NA,NA,NA,NA,NA
"19198","RNA5SP195",0.648308270040327,1.35805248557984,0.60475918036496,2.2456087144643,0.0247290818103384,0.0369592703278306
"19199","RNA5SP196",0.00228009300033983,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19200","RNA5SP197",0.170245492205284,-0.478834035238639,0.945530357479904,-0.506418468165171,0.612562912443622,NA
"19201","RNA5SP198",0.00605400632279842,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19202","RNA5SP199",14.3867580961573,0.228910956864043,0.290431311955231,0.78817588683182,0.430593831555486,0.497675724480565
"19203","RNA5SP20",0.0599662738523236,-0.244883759927584,2.90610047042105,-0.0842654142277825,0.932845410017971,NA
"19204","RNA5SP200",0,NA,NA,NA,NA,NA
"19205","RNA5SP201",0.0378954895527734,-0.30171200834719,3.2382290993386,-0.0931719156031346,0.925766985416323,NA
"19206","RNA5SP202",2.26028978516246,0.767521130407563,0.714555102994118,1.07412448276068,0.282766892867408,0.34383521738189
"19207","RNA5SP203",1.36653127726746,1.29603985664166,0.488898783405543,2.65093696411715,0.0080268820893398,0.0129098060576039
"19208","RNA5SP204",0.0209164066551404,-0.315922039187175,4.5930929601677,-0.0687819824085687,0.945163160072686,NA
"19209","RNA5SP205",0.00846949890043256,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19210","RNA5SP206",0.090518347018236,-0.145603189368097,1.71537826849225,-0.084881097098237,0.932355919875328,NA
"19211","RNA5SP207",0.16945958637287,0.146081315557068,1.01500229482662,0.143922152985892,0.885561942251667,NA
"19212","RNA5SP208",0.0212587583292096,-0.344492902009997,4.57893005877028,-0.0752343664542703,0.940028241350554,NA
"19213","RNA5SP209",0.0106950210855995,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19214","RNA5SP21",0,NA,NA,NA,NA,NA
"19215","RNA5SP210",0.038756113231018,-0.301712078647933,3.23257425050435,-0.0933349260580357,0.925637486192788,NA
"19216","RNA5SP211",0.00634383883827792,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19217","RNA5SP212",0.0778429561206155,-0.117196204733739,1.73465452024349,-0.0675616979439162,0.946134546312015,NA
"19218","RNA5SP213",0,NA,NA,NA,NA,NA
"19219","RNA5SP214",0,NA,NA,NA,NA,NA
"19220","RNA5SP215",0.00424791922170816,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19221","RNA5SP216",0.406229365574003,0.466702921005513,1.6296505697174,0.286382203447727,0.774585403749574,0.816042702507657
"19222","RNA5SP217",1.83174358476236,0.73029551924566,0.373028957360827,1.95774484751127,0.0502599599527926,0.0715128706061821
"19223","RNA5SP218",0.00529623364879567,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19224","RNA5SP219",2.69401060844878,0.183576142225831,0.275876573412231,0.665428528255355,0.505776443146599,0.571626141167702
"19225","RNA5SP22",0.0261518237577102,-0.330132421287701,4.47877224460925,-0.0737104731514437,0.941240765091768,NA
"19226","RNA5SP220",0,NA,NA,NA,NA,NA
"19227","RNA5SP221",0.266724804238647,-0.0665164460785336,0.742776855342991,-0.0895510483398388,0.928643985800441,0.944141037622252
"19228","RNA5SP222",0,NA,NA,NA,NA,NA
"19229","RNA5SP223",0.00559303388262331,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19230","RNA5SP224",0,NA,NA,NA,NA,NA
"19231","RNA5SP225",0.0184497439158368,-0.358495151700319,5.10183920643297,-0.070267826404307,0.943980489997604,NA
"19232","RNA5SP226",0.414357771969847,0.794755582776403,0.87898061799022,0.904178734445366,0.365900634411394,0.431876400289732
"19233","RNA5SP227",0.0692799489800067,-0.177548630744168,2.00499895472309,-0.0885529792052631,0.92943717836501,NA
"19234","RNA5SP228",0,NA,NA,NA,NA,NA
"19235","RNA5SP229",0.016312825466564,-0.358495151700319,5.10183920643297,-0.0702678264043069,0.943980489997604,NA
"19236","RNA5SP23",0.00945433124556523,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19237","RNA5SP230",0.00426033597308519,-0.40079742477742,5.10183956735605,-0.0785593940158193,0.937383086554603,NA
"19238","RNA5SP231",0,NA,NA,NA,NA,NA
"19239","RNA5SP232",0,NA,NA,NA,NA,NA
"19240","RNA5SP233",0.0719355819047571,-0.134532876671639,1.81965002783899,-0.0739333798331591,0.941063395255498,NA
"19241","RNA5SP234",0,NA,NA,NA,NA,NA
"19242","RNA5SP235",0.00772891387587989,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19243","RNA5SP236",0.865300454388131,1.94768711427855,0.669765568236409,2.90801320140582,0.00363732982455304,0.00610761943278005
"19244","RNA5SP237",0.0238069191939748,-0.330130015541195,4.05211968406829,-0.0814709439208239,0.935067431437232,NA
"19245","RNA5SP238",0.0161240000407915,-0.358574920659941,5.10183931630241,-0.0702834602246587,0.94396804677814,NA
"19246","RNA5SP239",0,NA,NA,NA,NA,NA
"19247","RNA5SP24",0.0478552079540353,-0.259106682834355,2.56368754160945,-0.10106796504214,0.919496507991697,NA
"19248","RNA5SP240",0.0125326857409999,-0.372637697888323,5.10183938334423,-0.0730398724634213,0.941774388589968,NA
"19249","RNA5SP241",0.0704600754758495,-0.159750632415498,1.90804819497648,-0.0837246317132291,0.933275372625196,NA
"19250","RNA5SP242",0.0379826346620216,-0.301712015513811,3.23764976903787,-0.0931885895747985,0.92575373914255,NA
"19251","RNA5SP243",0,NA,NA,NA,NA,NA
"19252","RNA5SP244",0.105788296925868,-0.0888019973509886,1.71730061067669,-0.0517102228921917,0.958759591449314,NA
"19253","RNA5SP245",0.0704872598707884,-0.175097528825234,2.11262091871878,-0.0828816600620536,0.933945637010736,NA
"19254","RNA5SP246",0.079803803720026,-0.290667622187155,2.0029544002422,-0.145119440638293,0.884616569357826,NA
"19255","RNA5SP247",0.111282722574975,-0.103138444647859,1.63551495178178,-0.0630617558925385,0.949717328032589,NA
"19256","RNA5SP248",0.0888681094758517,-0.297005844447947,1.89198859312208,-0.156980779655675,0.875259995896621,NA
"19257","RNA5SP249",0.00493346887563187,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19258","RNA5SP25",0.0911127539182436,-0.402540786946576,1.57802039625701,-0.255092258567369,0.798651843195131,NA
"19259","RNA5SP251",0.0131896691215358,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"19260","RNA5SP252",0,NA,NA,NA,NA,NA
"19261","RNA5SP253",0,NA,NA,NA,NA,NA
"19262","RNA5SP254",0,NA,NA,NA,NA,NA
"19263","RNA5SP255",0.00519591824642181,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19264","RNA5SP256",0.1179024137177,-0.196218574690522,1.65090823593823,-0.118854925076443,0.905390293120605,NA
"19265","RNA5SP257",0.0249968304026324,-0.344349750166265,5.0908692623795,-0.0676406586810116,0.946071688550658,NA
"19266","RNA5SP258",0.0103433670415503,-0.386723261905961,5.10183948286658,-0.0758007505341332,0.939577619004906,NA
"19267","RNA5SP259",0.0504208536395845,-0.576199157960344,2.93587630484569,-0.196261387787123,0.844405581700086,NA
"19268","RNA5SP26",0.00679500196870254,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19269","RNA5SP260",0.429023225641666,0.459773937981199,0.567332000665694,0.810414250283276,0.41770213039547,0.484524097861467
"19270","RNA5SP261",0,NA,NA,NA,NA,NA
"19271","RNA5SP262",0,NA,NA,NA,NA,NA
"19272","RNA5SP263",0.340570100495124,-0.0891774451599599,0.745793648035852,-0.119573886684099,0.90482070668366,0.924928158186176
"19273","RNA5SP264",0,NA,NA,NA,NA,NA
"19274","RNA5SP265",0.114634065630347,-0.179601750448489,1.51266938496558,-0.118731662208246,0.905487951155661,NA
"19275","RNA5SP266",0,NA,NA,NA,NA,NA
"19276","RNA5SP267",0,NA,NA,NA,NA,NA
"19277","RNA5SP268",0.015634035170835,-0.358495151700319,5.10183920643297,-0.0702678264043069,0.943980489997604,NA
"19278","RNA5SP269",0,NA,NA,NA,NA,NA
"19279","RNA5SP27",0.00260487683779071,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19280","RNA5SP270",0,NA,NA,NA,NA,NA
"19281","RNA5SP271",0,NA,NA,NA,NA,NA
"19282","RNA5SP272",0,NA,NA,NA,NA,NA
"19283","RNA5SP273",0,NA,NA,NA,NA,NA
"19284","RNA5SP274",0.00406264952230641,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19285","RNA5SP275",0,NA,NA,NA,NA,NA
"19286","RNA5SP276",0.124650985011397,-0.773911619616582,1.58429293659372,-0.488490229136865,0.6252026449187,NA
"19287","RNA5SP277",0.0106965648975651,-0.373537067626195,5.10183808121127,-0.0732161745786943,0.941634095479578,NA
"19288","RNA5SP278",0.0532050293196151,-0.21961489097083,2.39889751241755,-0.0915482590790247,0.927056961998708,NA
"19289","RNA5SP279",0,NA,NA,NA,NA,NA
"19290","RNA5SP28",0.0710673105465044,-0.189084548020463,1.89966227649711,-0.099535875592122,0.920712804715765,NA
"19291","RNA5SP280",0.04252614055875,-0.27329896601928,2.9718371788346,-0.0919629675426747,0.926727462487635,NA
"19292","RNA5SP281",0.202883299560811,0.261440598429031,0.823173330436602,0.317600909507558,0.750787684149384,NA
"19293","RNA5SP282",0.186334270890379,0.00381763184532001,1.08414273653058,0.00352133692057654,0.997190385444138,NA
"19294","RNA5SP283",7.64272063178649,1.76913785100161,0.269454840669789,6.56561910932471,5.18171140490205e-11,1.75092644608748e-10
"19295","RNA5SP284",0.0620957990510648,-0.362987000627542,2.7090761794388,-0.133989218679977,0.893411099804708,NA
"19296","RNA5SP285",0,NA,NA,NA,NA,NA
"19297","RNA5SP286",0,NA,NA,NA,NA,NA
"19298","RNA5SP287",0.00593768573354782,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19299","RNA5SP288",0.0268693365811992,-0.302682034342929,4.01199393062824,-0.0754442901900233,0.93986122112102,NA
"19300","RNA5SP289",0.0727556521282538,-0.188138384948362,1.99691265119055,-0.0942146291858058,0.924938664055554,NA
"19301","RNA5SP29",0.050557529837856,-0.406124521567064,2.73647054274203,-0.148411800976346,0.882017787374695,NA
"19302","RNA5SP290",0.261356762523495,0.35235190554917,0.656996161907318,0.536307403267413,0.591746114885734,0.653029528240704
"19303","RNA5SP291",0,NA,NA,NA,NA,NA
"19304","RNA5SP292",0,NA,NA,NA,NA,NA
"19305","RNA5SP293",0,NA,NA,NA,NA,NA
"19306","RNA5SP294",0.0928981758762042,-0.0897899216843789,1.72713216544797,-0.0519878695334761,0.958538359053666,NA
"19307","RNA5SP295",0.140021730848024,0.0385499561818904,1.2130784329579,0.0317786180468912,0.974648598349838,NA
"19308","RNA5SP296",0.190560667506554,0.238433832792116,0.840920549196463,0.283539072769657,0.776763634253442,NA
"19309","RNA5SP297",0.133412513616383,-0.281272696747359,1.40094900456763,-0.200772973056337,0.84087609697555,NA
"19310","RNA5SP298",2.37262424129819,2.20727889593091,0.488032253586667,4.52281356346652,6.10229876840921e-06,1.37875177252579e-05
"19311","RNA5SP299",0.00353943752286567,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19312","RNA5SP30",0.00303090704225938,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19313","RNA5SP300",0.0185284814570741,-0.500877678126869,5.10183936536858,-0.0981759013282228,0.921792617959449,NA
"19314","RNA5SP301",0.112127820205256,-0.536329181769287,1.33957762579676,-0.400371857099573,0.688882649421607,NA
"19315","RNA5SP302",0.0254563876126457,-0.330129919710121,4.0257017340744,-0.0820055586621906,0.934642293173451,NA
"19316","RNA5SP303",0,NA,NA,NA,NA,NA
"19317","RNA5SP304",0.00332819907608518,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19318","RNA5SP305",0.105502202086509,-0.0747476700114874,1.44941598683252,-0.0515708883374724,0.958870616203019,NA
"19319","RNA5SP306",0,NA,NA,NA,NA,NA
"19320","RNA5SP307",0.0471277912713023,-0.259649637090076,2.7462142907528,-0.0945482069496112,0.924673690314763,NA
"19321","RNA5SP308",0.00502347548324243,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19322","RNA5SP309",0.0330720985370697,-0.315919477398472,3.56876146478395,-0.0885235621702156,0.929460557946711,NA
"19323","RNA5SP31",0,NA,NA,NA,NA,NA
"19324","RNA5SP310",0.243968949374574,0.452536235083107,1.05587361064693,0.428589397935458,0.668222062422741,0.723116086802038
"19325","RNA5SP311",1.19938433625651,2.07764723626289,0.497284019872331,4.17798914350052,2.94097689447497e-05,6.22572957927758e-05
"19326","RNA5SP312",0.880096962071485,1.06960191628625,0.484301612727456,2.20854502272364,0.0272063029341866,0.0403897041308743
"19327","RNA5SP315",1.74998292120094,1.31666107533606,0.453879768690462,2.9009027635995,0.00372089319927078,0.00624325890792178
"19328","RNA5SP317",1.19938433625651,2.07764723626289,0.497284019872331,4.17798914350052,2.94097689447497e-05,6.22572957927758e-05
"19329","RNA5SP318",0,NA,NA,NA,NA,NA
"19330","RNA5SP319",0.0131753712492556,-0.358495151700319,5.10183920643297,-0.0702678264043069,0.943980489997604,NA
"19331","RNA5SP320",0.610589150093904,1.35774290002537,0.530472868892343,2.55949546083368,0.0104824224771723,0.0165714223620225
"19332","RNA5SP321",0.0935693994280597,-0.131327404132748,1.98402437628386,-0.066192434781839,0.947224619736445,NA
"19333","RNA5SP322",0.0170891872850395,-0.358495151700319,5.10183920643297,-0.0702678264043069,0.943980489997604,NA
"19334","RNA5SP323",0.68793720082415,1.08331137031714,0.530210280185942,2.04317307830626,0.0410353077736731,0.0592142370010782
"19335","RNA5SP324",0.120132852140007,-0.255199563110659,1.25561729005703,-0.203246295771435,0.83894252910847,NA
"19336","RNA5SP325",0.0106883373269988,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"19337","RNA5SP326",0,NA,NA,NA,NA,NA
"19338","RNA5SP327",0,NA,NA,NA,NA,NA
"19339","RNA5SP328",0.00426033597308519,-0.40079742477742,5.10183956735605,-0.0785593940158193,0.937383086554603,NA
"19340","RNA5SP329",0.00456558648058204,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19341","RNA5SP33",0.188264631199993,0.0595597926123557,0.939284932489524,0.0634097179164747,0.949440249047486,NA
"19342","RNA5SP330",0.0179281030726164,-0.344498712586464,5.1018392313458,-0.0675244156009184,0.946164225541331,NA
"19343","RNA5SP331",0.00845592268927628,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19344","RNA5SP332",0.0138446695538817,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"19345","RNA5SP333",0.912679763966998,2.02426062916037,0.505703073981977,4.00286399926554,6.25802796142554e-05,0.000128261255046312
"19346","RNA5SP334",1.85193245968537,2.91014589706404,0.536585382805117,5.42345354592147,5.84584128564514e-08,1.564006701959e-07
"19347","RNA5SP335",0.0361679494423473,-0.287506914003683,3.00359742472462,-0.0957208551442415,0.923742276944538,NA
"19348","RNA5SP336",0,NA,NA,NA,NA,NA
"19349","RNA5SP337",0.0101217742831031,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19350","RNA5SP338",0.134764436988751,-0.259144025863114,1.21289280575319,-0.213657814304693,0.830813910942067,NA
"19351","RNA5SP339",0.0226380860398637,-0.344344119471228,4.54724179408248,-0.0757259312489909,0.93963714506966,NA
"19352","RNA5SP34",0,NA,NA,NA,NA,NA
"19353","RNA5SP340",0.0453591482058824,-0.287499735168873,3.48049662881301,-0.0826030781897127,0.934167153601062,NA
"19354","RNA5SP341",0.0213962067333265,-0.344344369554221,4.57566028389604,-0.0752556676390804,0.940011293509791,NA
"19355","RNA5SP342",0,NA,NA,NA,NA,NA
"19356","RNA5SP344",0.0617137878305748,-0.216499558480128,2.37853560858209,-0.091022206141866,0.927474946347079,NA
"19357","RNA5SP345",0.256469103631516,0.286847611840295,0.694504449535167,0.413024872673289,0.679588390660688,0.733187609769146
"19358","RNA5SP346",0,NA,NA,NA,NA,NA
"19359","RNA5SP347",0,NA,NA,NA,NA,NA
"19360","RNA5SP349",0,NA,NA,NA,NA,NA
"19361","RNA5SP35",0.052494278044047,-0.202290828522735,2.40520376092462,-0.0841054848695934,0.932972563802761,NA
"19362","RNA5SP350",0.00309200045641977,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19363","RNA5SP351",0,NA,NA,NA,NA,NA
"19364","RNA5SP352",0.00477856283113581,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19365","RNA5SP353",0.00854037162540329,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19366","RNA5SP354",0.157129056958188,-0.24133568617467,0.998558440965681,-0.241684088055257,0.809024960004271,NA
"19367","RNA5SP355",0.0442246977853351,-0.287507893258308,2.96063262891917,-0.097110290027192,0.922638809226872,NA
"19368","RNA5SP356",0,NA,NA,NA,NA,NA
"19369","RNA5SP357",0.120797949425686,-0.150591752583972,1.2109617226073,-0.124357153304347,0.901032496650985,NA
"19370","RNA5SP358",0.00426033597308519,-0.40079742477742,5.10183956735605,-0.0785593940158193,0.937383086554603,NA
"19371","RNA5SP359",0,NA,NA,NA,NA,NA
"19372","RNA5SP36",0.0041785889335523,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19373","RNA5SP360",0,NA,NA,NA,NA,NA
"19374","RNA5SP361",0.613074165202399,-0.519002026869599,0.50002310466506,-1.03795609048356,0.299290498086048,0.361462855231613
"19375","RNA5SP362",0.00528307400801727,-0.40079742477742,5.10183956735605,-0.0785593940158193,0.937383086554603,NA
"19376","RNA5SP363",0.0868879423798495,-0.131401085000715,1.72156246655378,-0.0763266437050949,0.939159229056754,NA
"19377","RNA5SP364",0.0859338069838894,-0.159802707036521,1.71629530588514,-0.0931090975361644,0.925816890046767,NA
"19378","RNA5SP365",0.0517139006701097,-0.538027314510715,2.40001728367939,-0.224176433298798,0.82262002033174,NA
"19379","RNA5SP366",0,NA,NA,NA,NA,NA
"19380","RNA5SP367",0,NA,NA,NA,NA,NA
"19381","RNA5SP368",0.0175683983236834,-0.344345314401998,4.67815199617075,-0.073607124070329,0.941323002331098,NA
"19382","RNA5SP369",0,NA,NA,NA,NA,NA
"19383","RNA5SP37",3.24978295992702,0.555971172911017,0.311258911769735,1.78620162150511,0.074066618649785,0.102289860177909
"19384","RNA5SP370",0.174415693552175,-0.119950483192796,2.25801254748775,-0.0531221508606107,0.957634582534281,NA
"19385","RNA5SP371",0.00349978926998966,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19386","RNA5SP372",0.271251570451079,-0.19737834702151,0.676629441244641,-0.291708186180072,0.770509749657917,0.812321479701425
"19387","RNA5SP373",0.00607098306735111,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19388","RNA5SP374",0,NA,NA,NA,NA,NA
"19389","RNA5SP375",0,NA,NA,NA,NA,NA
"19390","RNA5SP376",0.00456872491577096,-0.401224321948548,5.10183956758493,-0.0786430691583814,0.937316529368393,NA
"19391","RNA5SP377",0.00456872491577096,-0.401224321948548,5.10183956758493,-0.0786430691583814,0.937316529368393,NA
"19392","RNA5SP378",0.122291107261414,-0.609261869702828,1.30907855719214,-0.465412764081663,0.641635895267226,NA
"19393","RNA5SP379",0.232518512740633,0.200749020073674,0.704301418852562,0.28503282074986,0.775618997092628,0.816939674660186
"19394","RNA5SP38",0.757373236856367,-0.82035166220588,0.441626505562258,-1.85756890013077,0.0632302583708723,0.0884411000483473
"19395","RNA5SP380",0,NA,NA,NA,NA,NA
"19396","RNA5SP382",0.055709706539872,-0.364063743635062,2.02079053407355,-0.180159070173976,0.857027689883909,NA
"19397","RNA5SP383",3.95280412322745,1.34037744978687,0.308608226190135,4.34329786452632,1.40359621881748e-05,3.07130853268476e-05
"19398","RNA5SP384",0.00398881622475499,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19399","RNA5SP385",0.0796148600183315,-0.279866542040083,2.00458877477028,-0.139612944840596,0.888965812295415,NA
"19400","RNA5SP386",0.0608481773550253,-0.216512730883515,2.24323316535686,-0.0965181570187207,0.923109054032464,NA
"19401","RNA5SP387",0.0469021661590712,-0.244909470368411,2.41106025231025,-0.101577499000177,0.919092040248352,NA
"19402","RNA5SP388",0.00881334424066226,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19403","RNA5SP389",1.00795670904941,2.17150047726786,0.916921529524719,2.36825116146356,0.0178723984558907,0.0273328221951616
"19404","RNA5SP39",2.31442282605606,2.11008305455752,0.50398903798375,4.18676378954408,2.82960032269567e-05,5.99902025861343e-05
"19405","RNA5SP390",0.0328313437563713,-0.449537113653067,3.02471067556018,-0.14862152512151,0.881852287056292,NA
"19406","RNA5SP391",0,NA,NA,NA,NA,NA
"19407","RNA5SP392",0.130511387115534,-0.154584882842742,1.56857115654569,-0.0985513995955208,0.921494459587604,NA
"19408","RNA5SP393",0.171094651540963,0.151907884916552,1.01403055763707,0.149806022878179,0.8809176574155,NA
"19409","RNA5SP394",0.0208650476459857,-0.331540046095445,4.10516526960822,-0.0807616805466849,0.935631482976342,NA
"19410","RNA5SP395",0.268746300406133,0.176257279011589,0.66665042409143,0.264392360136586,0.791477597872821,0.830346641305502
"19411","RNA5SP396",0.0717287147887387,-0.145571892504051,1.81688511406139,-0.0801216826410367,0.93614047792999,NA
"19412","RNA5SP397",0.0219304059031488,-0.358495151700319,5.10183920643297,-0.0702678264043069,0.943980489997604,NA
"19413","RNA5SP399",0,NA,NA,NA,NA,NA
"19414","RNA5SP40",0.00607559794794988,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19415","RNA5SP400",0.00674708775431761,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19416","RNA5SP401",0.0103119759836921,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19417","RNA5SP402",0.00800255103942046,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19418","RNA5SP403",0.0205921799444883,-0.504059349249546,4.59591773950122,-0.109675450654226,0.912666770482099,NA
"19419","RNA5SP404",0.00808023106768922,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"19420","RNA5SP405",0.0258353107799142,-0.46997887497303,3.64658849462293,-0.128881796140704,0.897451181100297,NA
"19421","RNA5SP406",0,NA,NA,NA,NA,NA
"19422","RNA5SP407",0.00477856283113581,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19423","RNA5SP408",0,NA,NA,NA,NA,NA
"19424","RNA5SP409",0.00424791922170816,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"19425","RNA5SP41",0.0232561157304242,-0.330130050934902,4.0614328920181,-0.0812841328940098,0.93521599234807,NA
